SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
852,Stellar,XLM,12/4/2016 23:59,0.00159712,0.00153172,0.00159163,0.00153172,8555.929688,10494355.94
853,Stellar,XLM,12/5/2016 23:59,0.00155718,0.00151181,0.00153151,0.00154175,17746.59961,10563075.02
854,Stellar,XLM,12/6/2016 23:59,0.00282359,0.00145805,0.00154179,0.00266594,856036,18265298.66
855,Stellar,XLM,12/7/2016 23:59,0.00314068,0.00199284,0.00265271,0.00276701,2369690,18957765.01
856,Stellar,XLM,12/8/2016 23:59,0.00290971,0.0023103,0.00274855,0.00242148,1531460,16590416.67
857,Stellar,XLM,12/9/2016 23:59,0.00261483,0.00232737,0.00244361,0.00254536,519467,17439162.4
858,Stellar,XLM,12/10/2016 23:59,0.00258679,0.00219921,0.00258656,0.00223253,481548,15295853.33
859,Stellar,XLM,12/11/2016 23:59,0.00241828,0.0021364,0.00220424,0.00235309,306783,16121852.57
860,Stellar,XLM,12/12/2016 23:59,0.00241799,0.00221391,0.00235349,0.00227227,230324,15727594.49
861,Stellar,XLM,12/13/2016 23:59,0.00230121,0.00208757,0.00226483,0.00215755,207838,14933556.09
862,Stellar,XLM,12/14/2016 23:59,0.00221657,0.00210369,0.00216331,0.00215007,83790.10156,14881783.01
863,Stellar,XLM,12/15/2016 23:59,0.00301266,0.00210004,0.00215094,0.00280186,673328,19393169.78
864,Stellar,XLM,12/16/2016 23:59,0.00314905,0.00275232,0.00282145,0.00312338,1241390,21618581.45
865,Stellar,XLM,12/17/2016 23:59,0.00313859,0.00274857,0.0031295,0.00277185,350471,19185454.54
866,Stellar,XLM,12/18/2016 23:59,0.0029578,0.00275913,0.00277195,0.00289997,142791,20072241.5
867,Stellar,XLM,12/19/2016 23:59,0.00293705,0.00278529,0.00290093,0.00286783,125139,19849783.39
868,Stellar,XLM,12/20/2016 23:59,0.00304045,0.00283544,0.00286749,0.00283627,130279,19631339.77
869,Stellar,XLM,12/21/2016 23:59,0.00294663,0.00276486,0.00284177,0.00281018,123212,19450756.94
870,Stellar,XLM,12/22/2016 23:59,0.00287315,0.002446,0.00282449,0.00275054,195628,19037956.65
